siff_sId,showName,country,holder,actor,showTime,cname,hname_cn
XM4223    ,叫费德里科多么奇怪！,意大利,埃托尔·斯科拉,托马索·拉佐蒂，毛里奇奥·德·桑蒂斯，贾科莫·拉佐蒂,2014-06-22 13:30:00.000,星美正大影城,四厅
XM4225    ,汉娜的旅程,德国,朱莉娅·冯·海因茨,卡罗利妮·舒赫 ，多伦·阿米特 ,2014-06-22 18:30:00.000,星美正大影城,四厅
XM4195    ,时光修复师,意大利,保罗·米顿,丹尼尔·萨佛卡，汉娜·考福特,2014-06-19 18:30:00.000,星美正大影城,四厅
XM4156    ,奇迹,加拿大,丹尼尔·格洛,泽维尔·多兰，妮娜·劳伦,2014-06-15 20:45:00.000,星美正大影城,四厅
XM4143    ,冒牌王子,意大利,亚历桑德罗·希亚尼,亚历桑德罗·希亚尼，克里斯蒂安·德·西卡，莎拉·菲尔伯鲍姆,2014-06-14 13:30:00.000,星美正大影城,四厅
XM4226    ,她,美国,斯派克·琼斯,杰昆·菲尼克斯，斯嘉丽·约翰逊,2014-06-22 20:45:00.000,星美正大影城,四厅
XM4175    ,九天零一个清晨,俄罗斯,薇拉·斯托洛日娃,安娜·雪碧妮娜，奥尔加·波波娃，谢尔盖·普斯科帕里斯,2014-06-17 18:30:00.000,星美正大影城,四厅
XM4186    ,九顶假发的女孩,德国,马克·罗斯曼,丽莎·托马舍夫斯基，卡洛琳·特斯卡,2014-06-18 20:45:00.000,星美正大影城,四厅
XM4155    ,战栗丛林,澳大利亚,亚伦·威尔逊,Khan Chittenden， 莫子仪,2014-06-15 18:30:00.000,星美正大影城,四厅
XM4185    ,独宿,加拿大,艾萨克·克拉维特, Annie Clark， Daniel Kash， Richard Clarkin ,2014-06-18 18:30:00.000,星美正大影城,四厅
YH1153    ,舞台姐妹,中国,谢晋,谢芳，曹银娣,2014-06-15 13:30:00.000,永华电影城,一厅
YH1156    ,黑金杀机,美国,雷德利·斯科特,迈克尔·斯宾德，  布拉德·皮特,2014-06-15 20:45:00.000,永华电影城,一厅
YH1206    ,银行女劫匪,德国,克里斯蒂安·阿瓦特,肯·杜肯，娜达莎·布锐妮克,2014-06-20 20:45:00.000,永华电影城,一厅
YH1226    ,悲惨世界 4K,法国,雷蒙德·伯纳德,哈利·鲍尔，查尔斯·文恩 ,2014-06-22 20:45:00.000,永华电影城,一厅
YH1225    ,玩命毒师,意大利,西德尼·西比利亚,艾多尔多·里奥，瓦莱丽亚·索拉里诺，瓦莱里奥·阿普雷亚,2014-06-22 18:30:00.000,永华电影城,一厅
YH1213    ,太秦灯光下,日本,落合贤,福本清三，山本千寻，本田博太郎,2014-06-21 13:30:00.000,永华电影城,一厅
YH8166    ,徐葆光眼中的琉球,日本,本乡义明,,2014-06-16 20:45:00.000,永华电影城,八厅
YH8155    ,离巨星二十英尺,美国,摩根·内维尔,娄·阿德勒,2014-06-15 18:30:00.000,永华电影城,八厅
YH8146    ,地峡,泰国,皮拉查·科尔德辛特，索帕宛·布尼米特拉,桑通·哥图，玛瑞萨·基德,2014-06-14 20:45:00.000,永华电影城,八厅
YH8175    ,坚持到底,美国,艾伦·希克斯,克拉克·泰瑞，昆西·琼斯，贺比·汉考克,2014-06-17 18:30:00.000,永华电影城,八厅
YH8145    ,声音城市,美国,大卫·格鲁,保罗·麦卡特尼，尼尔·杨， 大卫·格鲁,2014-06-14 18:30:00.000,永华电影城,八厅
          ,松上雪,,佩曼·莫阿迪,萨巴·阿巴，马纳兹·阿什哈尔,2014-06-16 18:30:00.000,永华电影城,八厅
YH8195    ,阿姆斯特朗谎言,美国,亚历克斯·吉布尼,兰斯·阿姆斯特朗，瑞德·阿尔伯戈蒂，法兰基·安德瑞,2014-06-19 18:30:00.000,永华电影城,八厅
YH8185    ,玛利亚与蜘蛛侠,阿根廷,玛利亚·维多利亚·温尼斯,帕布罗·阿吉雷·安德拉德,2014-06-18 18:30:00.000,永华电影城,八厅
YH8176    ,PULP乐队：一部关于生、死、超市的电影,英国,弗洛里安·哈比希特,贾维斯·考科尔，尼克·班克斯，坎迪达·朵依,2014-06-17 20:45:00.000,永华电影城,八厅
YH8156    ,图兰朵,中国,陈薪伊,孙秀苇，戴玉强，幺红，田浩江,2014-06-15 20:45:00.000,永华电影城,八厅
YH8216    ,美国革命：格蕾斯·利·博格斯的演变,美国,格雷斯·李,斯·利·博格斯，丹尼·格洛弗，安吉拉·戴维斯,2014-06-21 20:45:00.000,永华电影城,八厅
